,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
3409,28450.9,Burkholderia pseudomallei strain BDP,negative,,28450,Complete,BDP,,,,MLST.Burkholderia_pseudomallei.36,,,,2014-09-18T00:00:00Z,25414490,PRJNA256982,SAMN02945025,GCA_000755765.1,,"CP009209.1,CP009210.1","NZ_CP009209.1,NZ_CP009210.1",Los Alamos National Laboratory,,Illumina; 454; PacBio,616x,Newbler v. 2.6; Velvet v. 1.2.08; Allpaths,2,,2,7442161,67.891,7303,6117,Brain,brain,,1994,Australia,"Australia: Darwin, Northern Territory",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequencing of Burkholderia pseudomallei BDP,,99.2,95.6,100,0.4,,Good,2014-12-08T23:15:28.435Z,2015-03-16T03:17:09.594Z
3781,28901.9943,Salmonella enterica strain R19_2839,negative,,28901,Complete,R19.2839,Typhi,,,MLST.Salmonella_enterica.1,,,,2019-12-09T00:00:00Z,,PRJNA478278,SAMN13219579,GCA_009734305.1,,"CP046429,CP046430",,"Centers for Disease Control, Taiwan",,Illumina MiSeq; Oxford Nanopore,100.0x,unicycler v. v0.4.6,1,1,2,4896053,52.060158,5169,4698,Blood,blood,,2019,India,India:Pakistan,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"This BioProject contains the whole genome sequence data uploaded by Centers for Disease Control, Taiwan","collected_by:Centers of Disease Control, Taiwan",97.1,95.9,,,,Good,2019-12-31T18:26:41.326Z,2019-12-31T18:26:41.326Z
3787,29382.24,Staphylococcus cohnii strain FDAARGOS_334,positive,,29382,Complete,FDAARGOS_334,,,,MLST.Staphylococcus_aureus.102,,FDA:FDAARGOS_334,,2018-03-09T00:00:00Z,,PRJNA231221,SAMN06173347,GCA_002984565.1,,"CP027422,CP027420,CP027419,CP027421,CP027423,CP027424",,US Food and Drug Administration,,PacBio; Illumina,14.3396902102485x,"SMRT v. 2.3.0, HGAP v. 3.0",1,5,6,2661282,32.58839,2610,2503,Blood,peripheral blood,,22-Feb-15,USA,USA:DC,,,,,,"Human, Homo sapiens",female,10D,Contaminant,,,,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:Children's National Hospital,99,98.5,98.2,1.8,,Good,2018-05-26T05:52:02.912Z,2018-05-26T05:52:02.912Z
3797,29385.324,Staphylococcus saprophyticus strain UTI-045,positive,,29385,Complete,UTI-045,,,,,,,,2020-06-18T00:00:00Z,,PRJNA636387,SAMN15089826,GCA_013358365.1,,"CP054831,CP054832,CP054833,CP054834,CP054835",,Santa Clara University,,"Illumina MiSeq, Oxford Nanopore MiniION",189.0x,Unicycler v. 0.4.8,1,4,5,2744227,33.14314,2730,2637,Urine,urine,"isolated from urine specimens provided by female patients presenting at a college health clinic, who were experiencing symptoms of urinary tract infections",2019,USA,USA: California,,,,,,"Human, Homo sapiens",female,,,,,,,,,,,,,,,,,,"Several species of bacteria have been identified as major causes of urinary tract infection, but the prevalence of different bacteria can vary significantly, depending on location, timing, and demographics of the population being studied. This study is directed at identifying shared genomic and phenotypic traits in bacteria isolated from urine specimens provided by female patients presenting at a college health clinic, who were experiencing symptoms of urinary tract infections.",sample_type:whole organism,98,97.2,,,,Good,2020-07-01T18:53:08.758Z,2020-07-01T18:53:08.758Z
3798,29391.22,Gemella morbillorum strain FDAARGOS_741 strain Not applicable,positive,,29391,Complete,Not applicable,,,,,,FDA:FDAARGOS_741,,2019-12-05T00:00:00Z,,PRJNA231221,SAMN11056456,GCA_009730315.1,,CP046314,,US Food and Drug Administration,,Pacbio; Illumina,1742.58x,canu v. 1.4,1,,1,1779451,30.929764,1667,1621,Sputum,expectorated sputum,,,USA,USA:VA,,,,,,"Human, Homo sapiens",male,27Y,Cystic fibrosis,,,host_description:Not applicable,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:BEI Resources/American Type and Culture Collection (ATCC),99,99,,,,Good,2019-12-31T17:07:56.995Z,2019-12-31T17:07:56.995Z
3811,29430.79,Acinetobacter haemolyticus strain AN59,negative,,29430,Complete,AN59,,,,MLST.Acinetobacter_baumannii_2.86,,,,2020-01-16T00:00:00Z,,PRJNA311558,SAMN09927975,GCA_009892245.1,,"CP031972,CP031975,CP031974,CP031973",,"Center for Genomic Sciences, National Autonomous University of Mexico (UNAM)",,Illumina MiSeq and PacBio RSII,296x,Unicycler v. 0.4.1,1,3,4,3694983,39.536716,3637,3467,Abdomen,Peritoneal dialysis liquid,,6-Apr-16,Mexico,Mexico: Puebla,,,,,,"Human, Homo sapiens",male,13 years,Acinetobacter infection,,,host_description:Patient was at the Emergency services,,,,,,,,,,,,,Analysis of the genomic diversity of Acinetobacter isolates,collected_by:Hospital para el Nino Poblano,95.9,94.8,,,,Good,2020-02-01T18:10:02.800Z,2020-02-01T18:10:02.800Z
3897,29459.643,Brucella melitensis strain VB12455,negative,,29459,Complete,VB12455,,,,,,,,2019-10-13T00:00:00Z,,PRJNA575951,SAMN12917575,GCA_009017395.1,,"CP044985,CP044986",,Christian Medical College and Hospital,,Oxford Nanopore MiniION; IonTorrent,200.0x,Canu v. 1.8; Unicycler v. 0.4.7,2,,2,3311723,57.21747,3594,3301,Blood,blood,,28-Apr-19,India,India,,,,,,"Human, Homo sapiens",,,Bacterimia,,,,,,,,,,,,,,,,Brucella melitensis complete genome,collected_by:Christian Medical College and Hospital Vellore,99.9,97.5,,,,Good,2019-10-27T23:58:48.244Z,2019-10-27T23:58:48.244Z
3898,29466.62,Veillonella parvula strain NCTC11810,negative,,29466,Complete,NCTC11810,,,,,,NCTC:11810,,2017-08-15T00:00:00Z,,PRJEB6403,SAMEA4063028,GCA_900186885.1,,LT906445,,SC,,,,,1,,1,2132142,38.63,1887,1862,Gut,Intestinal tract,,1900/1981,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,100,99.9,100,,,Good,2017-09-29T14:26:44.760Z,2017-09-29T14:26:44.760Z
3899,29484.38,Yersinia frederiksenii strain FDAARGOS_417,negative,,29484,Complete,FDAARGOS_417,,,,,,FDA:FDAARGOS_417,,2017-10-18T00:00:00Z,,PRJNA231221,SAMN07312461,GCA_002591095.1,,CP023962,,US Food and Drug Administration,,PacBio; Illumina,12.18x,"SMRT v. 2.3.0, HGAP v. 3",1,,1,5000678,47.64,4781,4517,None,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:USAMRIID < MIDI < DCC < ATCC,99.6,97.9,100,0.5,,Good,2017-11-24T16:45:31.923Z,2017-11-24T16:45:31.923Z
3930,32019.101,Campylobacter fetus subsp. fetus strain CITCf02,negative,,32019,Complete,CITCf02,,,,MLST.Campylobacter_fetus.3,,,,2021-04-10T00:00:00Z,,PRJNA716563,SAMN18438775,GCA_017896405.1,,CP072665,,Munster Technological University,,Nanopore; Illumina,100.0x,SPAdes v. 3.11.1,1,,1,1766884,33.290527,1781,,Blood,blood,,2019,Ireland,Ireland,,,,,,Homo sapiens,,,endocarditis,,,,,,,,,,,,,,,,Genomic comparison of Campylobacter fetus strains isolated from a case of recurrent prosthetic valve endocarditis,collected_by:Caoimhe Lynch,99.9,99.6,,,,Good,2021-06-02T15:57:15.705Z,2021-06-02T15:57:15.705Z
3931,32021.6,Campylobacter jejuni subsp. doylei strain FDAARGOS_295,negative,,32021,Complete,FDAARGOS_295,O:17 (Penner),,ST-1845,MLST.Campylobacter_jejuni.1845,,FDA:FDAARGOS_295,,2018-03-09T00:00:00Z,,PRJNA231221,SAMN06173308,GCA_002983725.1,,CP027403,,US Food and Drug Administration,,PacBio; Illumina,25.18x,CA v. 8.2,1,,1,1845051,30.571512,2086,1914,Blood,"blood culture from a patient in Cape Town, South Africa",,1997,USA,USA:VA,,,,,,"Human, Homo sapiens",female,2Y 5M,Campylobacter infection,,,host_description:Bacteremia,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.;many frameshifted proteins","collected_by:ATCC < RE Mandrell, A Lastovica",99.5,98.8,100,2.6,,Good,2018-05-26T05:45:55.274Z,2018-05-26T05:45:55.274Z
3951,32022.895,Campylobacter jejuni subsp. jejuni strain GB19,negative,,32022,Complete,GB19,,,,MLST.Campylobacter_jejuni.61,,,,2021-03-16T00:00:00Z,,PRJNA348673,SAMN05871073,GCA_017357085.1,,"CP071592,CP071593",,"Erasmus University Medical Centre, Rotterdam, the Netherlands",,Illumina MiSeq,154.0x,Newbler v. 2.3; Geneious Reference,1,1,2,1676753,30.461727,1756,1685,Stool,feces,isolated from the feces of a patient with GBS,1998,Netherlands,Netherlands,,,,,,Homo sapiens,,,Guillain Barr� Syndrome,,,,,,,,,,,,,,,,The foodborne pathogen Campylobacter jejuni subsp. jejuni (Cjj) is a leading cause of human acute gastroenteritis and also the most important antecedent for Guillain-Barr� syndrome (GBS). We have determined the genome sequence of a Cjj strain isolated from the feces of a patient with GBS.,"collected_by:ErasmusMC, Netherlands",99.9,99.8,,,,Good,2021-03-28T02:00:02.993Z,2021-03-28T02:00:02.993Z
3953,33010.11,Propionibacterium avidum strain DPC 6544,positive,,33010,Complete,DPC 6544,,,,,,,,2016-08-26T00:00:00Z,,PRJNA339124,SAMN05579890,GCF_001714705.1,,CP016954,NZ_CP016954.1,University College Cork,,PacBio,287.8x,INVIEW DE NOVO GENOME 2.0 v. MAR-2015,1,,1,2729848,63.43,2594,2389,Stool,infant fecal swab,,2012,Ireland,Ireland,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Propionibacterium avidum DPC 6544 was sequenced after animal studies suggested probiotic potential.,sample_type:cell culture,99.4,98.2,100,0.8,,Good,2016-09-12T02:00:26.359Z,2016-09-12T02:00:26.359Z
3961,33892.42,Mycobacterium tuberculosis variant bovis BCG strain BCG_S49,positive,,33892,Complete,BCG_S49,,,,,,,,2018-10-31T00:00:00Z,,PRJNA498011,SAMN10278076,GCA_003704015.1,,CP033311,,University of Pretoria,,Illumina MiSeq,100.0x,CLC NGS Cell v. 7,1,,1,4294423,65.41946,4402,4232,Lung,superficial swab,,5-Aug-14,South Africa,South Africa,,,,,,"Human, Homo sapiens",male,8 months 1o days,Tuberculosis,,,host_description:infant,Susceptible,Computational Prediction,,,,,,,,,,,Clinical BCG isolates were sequenced and compared to reference BCG genome to identify genetic variations,collected_by:Lesedi Modipane,99.6,98.3,,,,Good,2018-11-29T08:31:32.061Z,2018-11-29T08:31:32.061Z
3964,33894.96,Mycobacterium tuberculosis variant africanum strain Various,positive,,33894,Complete,Various,,,,,,,,2021-01-25T00:00:00Z,,PRJEB42445,SAMEA104679305,GCA_905183075.1,,LR993208,,Institut Pasteur,,,,,1,,1,4374993,65.596016,4271,,None,human,,2007,France,France,,,,,,Homo sapiens,,,,,,host_health_state:diseased,Susceptible,Computational Prediction,,,,,,,,,,,"We performed whole-genome assembly of the two following strains of the mycobacterium tuberculosis complex: (1) Mycobacterium africanum 01 (lineage L6); and (2) Mycobacterium africanum 65 (lineage L5.1). Genome sequencing was performed at the Biomics platform of the Institut Pasteur (Paris, France) using a HiSeq 2500 device. Illumina read pairs were first trimmed using Trimmomatic v0.36 (parameters: LEADING 28; TRAILING 28; SLIDINGWINDOW windowSize 5, requiredQuality 28; MINLEN 50; AVGQUAL 28). Complete read pairs were then assembled using SPAdes v3.10.1 (parameters: --careful; -k 21,33,55; --phred-offset 33). Generated contigs were finally organized as compared to the reference genome of Mycobacterium africanum GM041182 using MeDuSa v1.6 (default parameters).",,99.3,98.5,,,,Good,2021-02-27T23:31:52.306Z,2021-02-27T23:31:52.306Z
3965,33945.25,Enterococcus avium strain 352,positive,,33945,Complete,352,,,,,,,,2019-05-14T00:00:00Z,31049078,PRJNA506876,SAMN10475309,GCA_005347505.1,,"CP034169,CP034168",,shandong University,,Illumina; PacBio,210.0x,ABySS v. 2.2; CANU v. OCT-2018; blasR v.,1,1,2,4882096,38.916748,5023,4759,Bile,bile from holelithiasis patient,,2/25/18,China,China,,,,,,"Human, Homo sapiens",,,Cholelithiasis,,,,,,,,,,,,,,,,Genome Sequencing of Enterococcus avium,collected_by:Lixiang Li,97.9,93.9,,,,Good,2019-07-17T11:51:00.715Z,2019-07-17T11:51:00.715Z
3969,34062.31,Moraxella osloensis strain NP7,negative,,34062,Complete,NP7,,,,,,KCTC:52864,,2017-11-06T00:00:00Z,,PRJNA398109,SAMN07501685,,,"CP024443,CP024444,CP024445,CP024446,CP024447,CP024448,CP024449,CP024450",,Changwon National University,,PacBio,270.0x,SMRTpipe HGAP v. 3.0,1,7,8,2730583,43.05,2687,2458,Skin,skin swab,,9/22/16,South Korea,South Korea: Changwon,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Catabolism of skin microbe,sample_type:single cell,93.1,91.9,84.9,2.2,,Good,2017-11-24T17:14:17.830Z,2017-11-24T17:14:17.830Z
3971,34105.52,Streptobacillus moniliformis strain BK14232,negative,,34105,Complete,BK14232,,,,,,,,2021-07-25T00:00:00Z,,PRJNA746743,SAMN20239707,GCA_019334605.1,,CP079714,,Jena University Hospital,,Oxford Nanopore GridION,24.0x,flye v. 2.8,1,,1,1655770,26.184494,1744,1585,Joint,putrid secret,,2021-06,Germany,Germany,,,,,,Homo sapiens,,,left-sided periprosthetic infection,,,,,,,,,,,,,,,,Streptobacillus moniliformis clinical isolate,collected_by:UKJ,99.8,96.2,,,,Good,2021-08-01T21:22:13.074Z,2021-08-01T21:22:13.074Z
